ID;FLAG_INTRUSO_DETECTADO;FLAG_IP_EXTRANJERA;MINUTOS_CONEXION;N_CONEXION_U3M
1352;0;1;12;3
1353;1;0;9;5
1354;0;0;12;5
1355;0;0;8;2
1356;0;0;12;2
1357;0;1;11;12
1358;0;0;12;5
1359;0;0;12;15
1360;0;1;9;4
1361;0;1;15;15
1362;1;0;13;8
1363;1;1;8;18
1364;0;0;15;13
1365;0;1;10;6
1366;0;0;14;3
1367;0;0;15;11
1368;1;1;7;13
1369;1;1;7;11
1370;1;0;12;6
1371;0;0;13;12
1372;0;0;15;2
1373;0;0;9;10
1374;0;0;12;11
1375;0;0;15;18
1376;0;0;8;14
1377;0;0;14;11
1378;1;1;12;1
1379;0;1;8;5
1380;0;0;11;9
1381;1;1;10;11
1382;0;1;13;18
1383;0;1;12;11
1384;0;0;10;15
1385;0;1;15;12
1386;0;0;12;10
1387;0;0;10;6
1388;1;1;8;10
1389;0;0;7;13
1390;1;1;11;2
1391;0;0;11;13
1392;1;0;8;15
1393;0;0;10;12
1394;0;0;14;6
1395;0;0;11;12
1396;0;0;8;8
1397;0;1;11;18
1398;1;0;7;10
1399;1;1;8;12
1400;0;0;8;15
1401;0;1;13;11
1402;0;0;14;9
1403;0;0;10;13
1404;0;0;9;7
1405;0;0;10;11
1406;1;1;10;3
1407;0;0;12;5
1408;0;0;14;18
1409;0;0;10;14
1410;0;0;14;1
1411;0;0;8;13
1412;0;1;9;16
1413;0;1;7;11
1414;0;0;15;15
1415;0;0;10;12
1416;1;0;10;18
1417;0;1;15;16
1418;0;0;12;19
1419;0;1;13;3
1420;0;0;15;12
1421;1;1;12;9
1422;0;1;8;18
1423;0;0;12;7
1424;0;0;10;5
1425;0;0;12;13
1426;1;1;10;19
1427;0;1;7;9
1428;0;0;8;6
1429;0;1;14;20
1430;1;1;14;0
1431;1;1;9;7
1432;0;1;8;17
1433;0;0;8;8
1434;0;0;12;14
1435;1;1;13;4
1436;1;0;12;16
1437;1;0;13;6
1438;1;0;8;9
1439;1;1;11;20
1440;0;0;7;15
1441;1;1;11;3
1442;0;0;7;13
1443;1;1;8;13
1444;0;1;13;13
1445;0;0;10;17
1446;1;1;9;14
1447;1;1;9;3
1448;0;0;11;15
1449;1;1;11;11
1450;0;0;7;1
1451;1;0;12;12
1452;0;1;12;3
1453;1;0;9;5
1454;0;0;12;5
1455;0;0;8;2
1456;0;0;12;2
1457;0;1;11;12
1458;0;0;12;5
1459;0;0;12;15
1460;0;1;9;4
1461;0;1;15;15
1462;1;0;13;8
1463;1;1;8;18
1464;0;0;15;13
1465;0;1;10;6
1466;0;0;14;3
1467;0;0;15;11
1468;1;1;7;13
1469;1;1;7;11
1470;1;0;12;6
1471;0;0;13;12
1472;0;0;15;2
1473;0;0;9;10
1474;0;0;12;11
1475;0;0;15;18
1476;0;0;8;14
1477;0;0;14;11
1478;1;1;12;1
1479;0;1;8;5
1480;0;0;11;9
1481;1;1;10;11
1482;0;1;13;18
1483;0;1;12;11
1484;0;0;10;15
1485;0;1;15;12
1486;0;0;12;10
1487;0;0;10;6
1488;1;1;8;10
1489;0;0;7;13
1490;1;1;11;2
1491;0;0;11;13
1492;1;0;8;15
1493;0;0;10;12
1494;0;0;14;6
1495;0;0;11;12
1496;0;0;8;8
1497;0;1;11;18
1498;1;0;7;10
1499;1;1;8;12
1500;0;0;8;15
1501;0;1;13;11
1502;0;0;14;9
1503;0;0;10;13
1504;0;0;9;7
1505;0;0;10;11
1506;1;1;10;3
1507;0;0;12;5
1508;0;0;14;18
1509;0;0;10;14
1510;0;0;14;1
1511;0;0;8;13
1512;0;1;9;16
1513;0;1;7;11
1514;0;0;15;15
1515;0;0;10;12
1516;1;0;10;18
1517;0;1;15;16
1518;0;0;12;19
1519;0;1;13;3
1520;0;0;15;12
1521;1;1;12;9
1522;0;1;8;18
1523;0;0;12;7
1524;0;0;10;5
1525;0;0;12;13
1526;1;1;10;19
1527;0;1;7;9
1528;0;0;8;6
1529;0;1;14;20
1530;1;1;14;0
1531;1;1;9;7
1532;0;1;8;17
1533;0;0;8;8
1534;0;0;12;14
1535;1;1;13;4
1536;1;0;12;16
1537;1;0;13;6
1538;1;0;8;9
1539;1;1;11;20
1540;0;0;7;15
1541;1;1;11;3
1542;0;0;7;13
1543;1;1;8;13
1544;0;1;13;13
1545;0;0;10;17
1546;1;1;9;14
1547;1;1;9;3
1548;0;0;11;15
1549;1;1;11;11
1550;0;0;7;1
1551;1;0;12;12
1552;0;1;12;3
1553;1;0;9;5
1554;0;0;12;5
1555;0;0;8;2
1556;0;0;12;2
1557;0;1;11;12
1558;0;0;12;5
1559;0;0;12;15
1560;0;1;9;4
1561;0;1;15;15
1562;1;0;13;8
1563;1;1;8;18
1564;0;0;15;13
1565;0;1;10;6
1566;0;0;14;3
1567;0;0;15;11
1568;1;1;7;13
1569;1;1;7;11
1570;1;0;12;6
1571;0;0;13;12
1572;0;0;15;2
1573;0;0;9;10
1574;0;0;12;11
1575;0;0;15;18
1576;0;0;8;14
1577;0;0;14;11
1578;1;1;12;1
1579;0;1;8;5
1580;0;0;11;9
1581;1;1;10;11
1582;0;1;13;18
1583;0;1;12;11
1584;0;0;10;15
1585;0;1;15;12
1586;0;0;12;10
1587;0;0;10;6
1588;1;1;8;10
1589;0;0;7;13
1590;1;1;11;2
1591;0;0;11;13
1592;1;0;8;15
1593;0;0;10;12
1594;0;0;14;6
1595;0;0;11;12
1596;0;0;8;8
1597;0;1;11;18
1598;1;0;7;10
1599;1;1;8;12
1600;0;0;8;15
1601;0;1;13;11
1602;0;0;14;9
1603;0;0;10;13
1604;0;0;9;7
1605;0;0;10;11
1606;1;1;10;3
1607;0;0;12;5
1608;0;0;14;18
1609;0;0;10;14
1610;0;0;14;1
1611;0;0;8;13
1612;0;1;9;16
1613;0;1;7;11
1614;0;0;15;15
1615;0;0;10;12
1616;1;0;10;18
1617;0;1;15;16
1618;0;0;12;19
1619;0;1;13;3
1620;0;0;15;12
1621;1;1;12;9
1622;0;1;8;18
1623;0;0;12;7
1624;0;0;10;5
1625;0;0;12;13
1626;1;1;10;19
1627;0;1;7;9
1628;0;0;8;6
1629;0;1;14;20
1630;1;1;14;0
1631;1;1;9;7
1632;0;1;8;17
1633;0;0;8;8
1634;0;0;12;14
1635;1;1;13;4
1636;1;0;12;16
1637;1;0;13;6
1638;1;0;8;9
1639;1;1;11;20
1640;0;0;7;15
1641;1;1;11;3
1642;0;0;7;13
1643;1;1;8;13
1644;0;1;13;13
1645;0;0;10;17
1646;1;1;9;14
1647;1;1;9;3
1648;0;0;11;15
1649;1;1;11;11
1650;0;0;7;1
1651;1;0;12;12
1652;0;1;12;3
1653;1;0;9;5
1654;0;0;12;5
1655;0;0;8;2
1656;0;0;12;2
1657;0;1;11;12
1658;0;0;12;5
1659;0;0;12;15
1660;0;1;9;4
1661;0;1;15;15
1662;1;0;13;8
1663;1;1;8;18
1664;0;0;15;13
1665;0;1;10;6
1666;0;0;14;3
1667;0;0;15;11
1668;1;1;7;13
1669;1;1;7;11
1670;1;0;12;6
1671;0;0;13;12
1672;0;0;15;2
1673;0;0;9;10
1674;0;0;12;11
1675;0;0;15;18
1676;0;0;8;14
1677;0;0;14;11
1678;1;1;12;1
1679;0;1;8;5
1680;0;0;11;9
1681;1;1;10;11
1682;0;1;13;18
1683;0;1;12;11
1684;0;0;10;15
1685;0;1;15;12
1686;0;0;12;10
1687;0;0;10;6
1688;1;1;8;10
1689;0;0;7;13
1690;1;1;11;2
1691;0;0;11;13
1692;1;0;8;15
1693;0;0;10;12
1694;0;0;14;6
1695;0;0;11;12
1696;0;0;8;8
1697;0;1;11;18
1698;1;0;7;10
1699;1;1;8;12
1700;0;0;8;15
1701;0;1;13;11
1702;0;0;14;9
1703;0;0;10;13
1704;0;0;9;7
1705;0;0;10;11
1706;1;1;10;3
1707;0;0;12;5
1708;0;0;14;18
1709;0;0;10;14
1710;0;0;14;1
1711;0;0;8;13
1712;0;1;9;16
1713;0;1;7;11
1714;0;0;15;15
1715;0;0;10;12
1716;1;0;10;18
1717;0;1;15;16
1718;0;0;12;19
1719;0;1;13;3
1720;0;0;15;12
1721;1;1;12;9
1722;0;1;8;18
1723;0;0;12;7
1724;0;0;10;5
1725;0;0;12;13
1726;1;1;10;19
1727;0;1;7;9
1728;0;0;8;6
1729;0;1;14;20
1730;1;1;14;0
1731;1;1;9;7
1732;0;1;8;17
1733;0;0;8;8
1734;0;0;12;14
1735;1;1;13;4
1736;1;0;12;16
1737;1;0;13;6
1738;1;0;8;9
1739;1;1;11;20
1740;0;0;7;15
1741;1;1;11;3
1742;0;0;7;13
1743;1;1;8;13
1744;0;1;13;13
1745;0;0;10;17
1746;1;1;9;14
1747;1;1;9;3
1748;0;0;11;15
1749;1;1;11;11
1750;0;0;7;1
1751;1;0;12;12
1752;0;1;12;3
1753;1;0;9;5
1754;0;0;12;5
1755;0;0;8;2
1756;0;0;12;2
1757;0;1;11;12
1758;0;0;12;5
1759;0;0;12;15
1760;0;1;9;4
1761;0;1;15;15
1762;1;0;13;8
1763;1;1;8;18
1764;0;0;15;13
1765;0;1;10;6
1766;0;0;14;3
1767;0;0;15;11
1768;1;1;7;13
1769;1;1;7;11
1770;1;0;12;6
1771;0;0;13;12
1772;0;0;15;2
1773;0;0;9;10
1774;0;0;12;11
1775;0;0;15;18
1776;0;0;8;14
1777;0;0;14;11
1778;1;1;12;1
1779;0;1;8;5
1780;0;0;11;9
1781;1;1;10;11
1782;0;1;13;18
1783;0;1;12;11
1784;0;0;10;15
1785;0;1;15;12
1786;0;0;12;10
1787;0;0;10;6
1788;1;1;8;10
1789;0;0;7;13
1790;1;1;11;2
1791;0;0;11;13
1792;1;0;8;15
1793;0;0;10;12
1794;0;0;14;6
1795;0;0;11;12
1796;0;0;8;8
1797;0;1;11;18
1798;1;0;7;10
1799;1;1;8;12
1800;0;0;8;15
1801;0;1;13;11
1802;0;0;14;9
1803;0;0;10;13
1804;0;0;9;7
1805;0;0;10;11
1806;1;1;10;3
1807;0;0;12;5
1808;0;0;14;18
1809;0;0;10;14
1810;0;0;14;1
1811;0;0;8;13
1812;0;1;9;16
1813;0;1;7;11
1814;0;0;15;15
1815;0;0;10;12
1816;1;0;10;18
1817;0;1;15;16
1818;0;0;12;19
1819;0;1;13;3
1820;0;0;15;12
1821;1;1;12;9
1822;0;1;8;18
1823;0;0;12;7
1824;0;0;10;5
1825;0;0;12;13
1826;1;1;10;19
1827;0;1;7;9
1828;0;0;8;6
1829;0;1;14;20
1830;1;1;14;0
1831;1;1;9;7
1832;0;1;8;17
1833;0;0;8;8
1834;0;0;12;14
1835;1;1;13;4
1836;1;0;12;16
1837;1;0;13;6
1838;1;0;8;9
1839;1;1;11;20
1840;0;0;7;15
1841;1;1;11;3
1842;0;0;7;13
1843;1;1;8;13
1844;0;1;13;13
1845;0;0;10;17
1846;1;1;9;14
1847;1;1;9;3
1848;0;0;11;15
1849;1;1;11;11
1850;0;0;7;1
1851;1;0;12;12
1852;0;1;12;3
1853;1;0;9;5
1854;0;0;12;5
1855;0;0;8;2
1856;0;0;12;2
1857;0;1;11;12
1858;0;0;12;5
1859;0;0;12;15
1860;0;1;9;4
1861;0;1;15;15
1862;1;0;13;8
1863;1;1;8;18
1864;0;0;15;13
1865;0;1;10;6
1866;0;0;14;3
1867;0;0;15;11
1868;1;1;7;13
1869;1;1;7;11
1870;1;0;12;6
1871;0;0;13;12
1872;0;0;15;2
1873;0;0;9;10
1874;0;0;12;11
1875;0;0;15;18
1876;0;0;8;14
1877;0;0;14;11
1878;1;1;12;1
1879;0;1;8;5
1880;0;0;11;9
1881;1;1;10;11
1882;0;1;13;18
1883;0;1;12;11
1884;0;0;10;15
1885;0;1;15;12
1886;0;0;12;10
1887;0;0;10;6
1888;1;1;8;10
1889;0;0;7;13
1890;1;1;11;2
1891;0;0;11;13
1892;1;0;8;15
1893;0;0;10;12
1894;0;0;14;6
1895;0;0;11;12
1896;0;0;8;8
1897;0;1;11;18
1898;1;0;7;10
1899;1;1;8;12
1900;0;0;8;15
1901;0;1;13;11
1902;0;0;14;9
1903;0;0;10;13
1904;0;0;9;7
1905;0;0;10;11
1906;1;1;10;3
1907;0;0;12;5
1908;0;0;14;18
1909;0;0;10;14
1910;0;0;14;1
1911;0;0;8;13
1912;0;1;9;16
1913;0;1;7;11
1914;0;0;15;15
1915;0;0;10;12
1916;1;0;10;18
1917;0;1;15;16
1918;0;0;12;19
1919;0;1;13;3
1920;0;0;15;12
1921;1;1;12;9
1922;0;1;8;18
1923;0;0;12;7
1924;0;0;10;5
1925;0;0;12;13
1926;1;1;10;19
1927;0;1;7;9
1928;0;0;8;6
1929;0;1;14;20
1930;1;1;14;0
1931;1;1;9;7
1932;0;1;8;17
1933;0;0;8;8
1934;0;0;12;14
1935;1;1;13;4
1936;1;0;12;16
1937;1;0;13;6
1938;1;0;8;9
1939;1;1;11;20
1940;0;0;7;15
1941;1;1;11;3
1942;0;0;7;13
1943;1;1;8;13
1944;0;1;13;13
1945;0;0;10;17
1946;1;1;9;14
1947;1;1;9;3
1948;0;0;11;15
1949;1;1;11;11
1950;0;0;7;1
1951;1;0;12;12
1952;0;1;12;3
1953;1;0;9;5
1954;0;0;12;5
1955;0;0;8;2
1956;0;0;12;2
1957;0;1;11;12
1958;0;0;12;5
1959;0;0;12;15
1960;0;1;9;4
1961;0;1;15;15
1962;1;0;13;8
1963;1;1;8;18
1964;0;0;15;13
1965;0;1;10;6
1966;0;0;14;3
1967;0;0;15;11
1968;1;1;7;13
1969;1;1;7;11
1970;1;0;12;6
1971;0;0;13;12
1972;0;0;15;2
1973;0;0;9;10
1974;0;0;12;11
1975;0;0;15;18
1976;0;0;8;14
1977;0;0;14;11
1978;1;1;12;1
1979;0;1;8;5
1980;0;0;11;9
1981;1;1;10;11
1982;0;1;13;18
1983;0;1;12;11
1984;0;0;10;15
1985;0;1;15;12
1986;0;0;12;10
1987;0;0;10;6
1988;1;1;8;10
1989;0;0;7;13
1990;1;1;11;2
1991;0;0;11;13
1992;1;0;8;15
1993;0;0;10;12
1994;0;0;14;6
1995;0;0;11;12
1996;0;0;8;8
1997;0;1;11;18
1998;1;0;7;10
1999;1;1;8;12
2000;0;0;8;15
2001;0;1;13;11
2002;0;0;14;9
2003;0;0;10;13
2004;0;0;9;7
2005;0;0;10;11
2006;1;1;10;3
2007;0;0;12;5
2008;0;0;14;18
2009;0;0;10;14
2010;0;0;14;1
2011;0;0;8;13
2012;0;1;9;16
2013;0;1;7;11
2014;0;0;15;15
2015;0;0;10;12
2016;1;0;10;18
2017;0;1;15;16
2018;0;0;12;19
2019;0;1;13;3
2020;0;0;15;12
2021;1;1;12;9
2022;0;1;8;18
2023;0;0;12;7
2024;0;0;10;5
2025;0;0;12;13
2026;1;1;10;19
2027;0;1;7;9
2028;0;0;8;6
2029;0;1;14;20
2030;1;1;14;0
2031;1;1;9;7
2032;0;1;8;17
2033;0;0;8;8
2034;0;0;12;14
2035;1;1;13;4
2036;1;0;12;16
2037;1;0;13;6
2038;1;0;8;9
2039;1;1;11;20
2040;0;0;7;15
2041;1;1;11;3
2042;0;0;7;13
2043;1;1;8;13
2044;0;1;13;13
2045;0;0;10;17
2046;1;1;9;14
2047;1;1;9;3
2048;0;0;11;15
2049;1;1;11;11
2050;0;0;7;1
2051;1;0;12;12
2052;0;1;12;3
2053;1;0;9;5
2054;0;0;12;5
2055;0;0;8;2
2056;0;0;12;2
2057;0;1;11;12
2058;0;0;12;5
2059;0;0;12;15
2060;0;1;9;4
2061;0;1;15;15
2062;1;0;13;8
2063;1;1;8;18
2064;0;0;15;13
2065;0;1;10;6
2066;0;0;14;3
2067;0;0;15;11
2068;1;1;7;13
2069;1;1;7;11
2070;1;0;12;6
2071;0;0;13;12
2072;0;0;15;2
2073;0;0;9;10
2074;0;0;12;11
2075;0;0;15;18
2076;0;0;8;14
2077;0;0;14;11
2078;1;1;12;1
2079;0;1;8;5
2080;0;0;11;9
2081;1;1;10;11
2082;0;1;13;18
2083;0;1;12;11
2084;0;0;10;15
2085;0;1;15;12
2086;0;0;12;10
2087;0;0;10;6
2088;1;1;8;10
2089;0;0;7;13
2090;1;1;11;2
2091;0;0;11;13
2092;1;0;8;15
2093;0;0;10;12
2094;0;0;14;6
2095;0;0;11;12
2096;0;0;8;8
2097;0;1;11;18
2098;1;0;7;10
2099;1;1;8;12
2100;0;0;8;15
2101;0;1;13;11
2102;0;0;14;9
2103;0;0;10;13
2104;0;0;9;7
2105;0;0;10;11
2106;1;1;10;3
2107;0;0;12;5
2108;0;0;14;18
2109;0;0;10;14
2110;0;0;14;1
2111;0;0;8;13
2112;0;1;9;16
2113;0;1;7;11
2114;0;0;15;15
2115;0;0;10;12
2116;1;0;10;18
2117;0;1;15;16
2118;0;0;12;19
2119;0;1;13;3
2120;0;0;15;12
2121;1;1;12;9
2122;0;1;8;18
2123;0;0;12;7
2124;0;0;10;5
2125;0;0;12;13
2126;1;1;10;19
2127;0;1;7;9
2128;0;0;8;6
2129;0;1;14;20
2130;1;1;14;0
2131;1;1;9;7
2132;0;1;8;17
2133;0;0;8;8
2134;0;0;12;14
2135;1;1;13;4
2136;1;0;12;16
2137;1;0;13;6
2138;1;0;8;9
2139;1;1;11;20
2140;0;0;7;15
2141;1;1;11;3
2142;0;0;7;13
2143;1;1;8;13
2144;0;1;13;13
2145;0;0;10;17
2146;1;1;9;14
2147;1;1;9;3
2148;0;0;11;15
2149;1;1;11;11
2150;0;0;7;1
2151;1;0;12;12
2152;0;1;12;3
2153;1;0;9;5
2154;0;0;12;5
2155;0;0;8;2
2156;0;0;12;2
2157;0;1;11;12
2158;0;0;12;5
2159;0;0;12;15
2160;0;1;9;4
2161;0;1;15;15
2162;1;0;13;8
2163;1;1;8;18
2164;0;0;15;13
2165;0;1;10;6
2166;0;0;14;3
2167;0;0;15;11
2168;1;1;7;13
2169;1;1;7;11
2170;1;0;12;6
2171;0;0;13;12
2172;0;0;15;2
2173;0;0;9;10
2174;0;0;12;11
2175;0;0;15;18
2176;0;0;8;14
2177;0;0;14;11
2178;1;1;12;1
2179;0;1;8;5
2180;0;0;11;9
2181;1;1;10;11
2182;0;1;13;18
2183;0;1;12;11
2184;0;0;10;15
2185;0;1;15;12
2186;0;0;12;10
2187;0;0;10;6
2188;1;1;8;10
2189;0;0;7;13
2190;1;1;11;2
2191;0;0;11;13
2192;1;0;8;15
2193;0;0;10;12
2194;0;0;14;6
2195;0;0;11;12
2196;0;0;8;8
2197;0;1;11;18
2198;1;0;7;10
2199;1;1;8;12
2200;0;0;8;15
2201;0;1;13;11
2202;0;0;14;9
2203;0;0;10;13
2204;0;0;9;7
2205;0;0;10;11
2206;1;1;10;3
2207;0;0;12;5
2208;0;0;14;18
2209;0;0;10;14
2210;0;0;14;1
2211;0;0;8;13
2212;0;1;9;16
2213;0;1;7;11
2214;0;0;15;15
2215;0;0;10;12
2216;1;0;10;18
2217;0;1;15;16
2218;0;0;12;19
2219;0;1;13;3
2220;0;0;15;12
2221;1;1;12;9
2222;0;1;8;18
2223;0;0;12;7
2224;0;0;10;5
2225;0;0;12;13
2226;1;1;10;19
2227;0;1;7;9
2228;0;0;8;6
2229;0;1;14;20
2230;1;1;14;0
2231;1;1;9;7
2232;0;1;8;17
2233;0;0;8;8
2234;0;0;12;14
2235;1;1;13;4
2236;1;0;12;16
2237;1;0;13;6
2238;1;0;8;9
2239;1;1;11;20
2240;0;0;7;15
2241;1;1;11;3
2242;0;0;7;13
2243;1;1;8;13
2244;0;1;13;13
2245;0;0;10;17
2246;1;1;9;14
2247;1;1;9;3
2248;0;0;11;15
2249;1;1;11;11
2250;0;0;7;1
2251;1;0;12;12
2252;0;1;12;3
2253;1;0;9;5
2254;0;0;12;5
2255;0;0;8;2
2256;0;0;12;2
2257;0;1;11;12
2258;0;0;12;5
2259;0;0;12;15
2260;0;1;9;4
2261;0;1;15;15
2262;1;0;13;8
2263;1;1;8;18
2264;0;0;15;13
2265;0;1;10;6
2266;0;0;14;3
2267;0;0;15;11
2268;1;1;7;13
2269;1;1;7;11
2270;1;0;12;6
2271;0;0;13;12
2272;0;0;15;2
2273;0;0;9;10
2274;0;0;12;11
2275;0;0;15;18
2276;0;0;8;14
2277;0;0;14;11
2278;1;1;12;1
2279;0;1;8;5
2280;0;0;11;9
2281;1;1;10;11
2282;0;1;13;18
2283;0;1;12;11
2284;0;0;10;15
2285;0;1;15;12
2286;0;0;12;10
2287;0;0;10;6
2288;1;1;8;10
2289;0;0;7;13
2290;1;1;11;2
2291;0;0;11;13
2292;1;0;8;15
2293;0;0;10;12
2294;0;0;14;6
2295;0;0;11;12
2296;0;0;8;8
2297;0;1;11;18
2298;1;0;7;10
2299;1;1;8;12
2300;0;0;8;15
2301;0;1;13;11
2302;0;0;14;9
2303;0;0;10;13
2304;0;0;9;7
2305;0;0;10;11
2306;1;1;10;3
2307;0;0;12;5
2308;0;0;14;18
2309;0;0;10;14
2310;0;0;14;1
2311;0;0;8;13
2312;0;1;9;16
2313;0;1;7;11
2314;0;0;15;15
2315;0;0;10;12
2316;1;0;10;18
2317;0;1;15;16
2318;0;0;12;19
2319;0;1;13;3
2320;0;0;15;12
2321;1;1;12;9
2322;0;1;8;18
2323;0;0;12;7
2324;0;0;10;5
2325;0;0;12;13
2326;1;1;10;19
2327;0;1;7;9
2328;0;0;8;6
2329;0;1;14;20
2330;1;1;14;0
2331;1;1;9;7
2332;0;1;8;17
2333;0;0;8;8
2334;0;0;12;14
2335;1;1;13;4
2336;1;0;12;16
2337;1;0;13;6
2338;1;0;8;9
2339;1;1;11;20
2340;0;0;7;15
2341;1;1;11;3
2342;0;0;7;13
2343;1;1;8;13
2344;0;1;13;13
2345;0;0;10;17
2346;1;1;9;14
2347;1;1;9;3
2348;0;0;11;15
2349;1;1;11;11
2350;0;0;7;1
2351;1;0;12;12
2352;0;1;12;3
2353;1;0;9;5
2354;0;0;12;5
2355;0;0;8;2
2356;0;0;12;2
2357;0;1;11;12
2358;0;0;12;5
2359;0;0;12;15
2360;0;1;9;4
2361;0;1;15;15
2362;1;0;13;8
2363;1;1;8;18
2364;0;0;15;13
2365;0;1;10;6
2366;0;0;14;3
2367;0;0;15;11
2368;1;1;7;13
2369;1;1;7;11
2370;1;0;12;6
2371;0;0;13;12
2372;0;0;15;2
2373;0;0;9;10
2374;0;0;12;11
2375;0;0;15;18
2376;0;0;8;14
2377;0;0;14;11
2378;1;1;12;1
2379;0;1;8;5
2380;0;0;11;9
2381;1;1;10;11
2382;0;1;13;18
2383;0;1;12;11
2384;0;0;10;15
2385;0;1;15;12
2386;0;0;12;10
2387;0;0;10;6
2388;1;1;8;10
2389;0;0;7;13
2390;1;1;11;2
2391;0;0;11;13
2392;1;0;8;15
2393;0;0;10;12
2394;0;0;14;6
2395;0;0;11;12
2396;0;0;8;8
2397;0;1;11;18
2398;1;0;7;10
2399;1;1;8;12
2400;0;0;8;15
2401;0;1;13;11
2402;0;0;14;9
2403;0;0;10;13
2404;0;0;9;7
2405;0;0;10;11
2406;1;1;10;3
2407;0;0;12;5
2408;0;0;14;18
2409;0;0;10;14
2410;0;0;14;1
2411;0;0;8;13
2412;0;1;9;16
2413;0;1;7;11
2414;0;0;15;15
2415;0;0;10;12
2416;1;0;10;18
2417;0;1;15;16
2418;0;0;12;19
2419;0;1;13;3
2420;0;0;15;12
2421;1;1;12;9
2422;0;1;8;18
2423;0;0;12;7
2424;0;0;10;5
2425;0;0;12;13
2426;1;1;10;19
2427;0;1;7;9
2428;0;0;8;6
2429;0;1;14;20
2430;1;1;14;0
2431;1;1;9;7
2432;0;1;8;17
2433;0;0;8;8
2434;0;0;12;14
2435;1;1;13;4
2436;1;0;12;16
2437;1;0;13;6
2438;1;0;8;9
2439;1;1;11;20
2440;0;0;7;15
2441;1;1;11;3
2442;0;0;7;13
2443;1;1;8;13
2444;0;1;13;13
2445;0;0;10;17
2446;1;1;9;14
2447;1;1;9;3
2448;0;0;11;15
2449;1;1;11;11
2450;0;0;7;1
2451;1;0;12;12
2452;0;1;12;3
2453;1;0;9;5
2454;0;0;12;5
2455;0;0;8;2
2456;0;0;12;2
2457;0;1;11;12
2458;0;0;12;5
2459;0;0;12;15
2460;0;1;9;4
2461;0;1;15;15
2462;1;0;13;8
2463;1;1;8;18
2464;0;0;15;13
2465;0;1;10;6
2466;0;0;14;3
2467;0;0;15;11
2468;1;1;7;13
2469;1;1;7;11
2470;1;0;12;6
2471;0;0;13;12
2472;0;0;15;2
2473;0;0;9;10
2474;0;0;12;11
2475;0;0;15;18
2476;0;0;8;14
2477;0;0;14;11
2478;1;1;12;1
2479;0;1;8;5
2480;0;0;11;9
2481;1;1;10;11
2482;0;1;13;18
2483;0;1;12;11
2484;0;0;10;15
2485;0;1;15;12
2486;0;0;12;10
2487;0;0;10;6
2488;1;1;8;10
2489;0;0;7;13
2490;1;1;11;2
2491;0;0;11;13
2492;1;0;8;15
2493;0;0;10;12
2494;0;0;14;6
2495;0;0;11;12
2496;0;0;8;8
2497;0;1;11;18
2498;1;0;7;10
2499;1;1;8;12
2500;0;0;8;15
2501;0;1;13;11
2502;0;0;14;9
2503;0;0;10;13
2504;0;0;9;7
2505;0;0;10;11
2506;1;1;10;3
2507;0;0;12;5
2508;0;0;14;18
2509;0;0;10;14
2510;0;0;14;1
2511;0;0;8;13
2512;0;1;9;16
2513;0;1;7;11
2514;0;0;15;15
2515;0;0;10;12
2516;1;0;10;18
2517;0;1;15;16
2518;0;0;12;19
2519;0;1;13;3
2520;0;0;15;12
2521;1;1;12;9
2522;0;1;8;18
2523;0;0;12;7
2524;0;0;10;5
2525;0;0;12;13
2526;1;1;10;19
2527;0;1;7;9
2528;0;0;8;6
2529;0;1;14;20
2530;1;1;14;0
2531;1;1;9;7
2532;0;1;8;17
2533;0;0;8;8
2534;0;0;12;14
2535;1;1;13;4
2536;1;0;12;16
2537;1;0;13;6
2538;1;0;8;9
2539;1;1;11;20
2540;0;0;7;15
2541;1;1;11;3
2542;0;0;7;13
2543;1;1;8;13
2544;0;1;13;13
2545;0;0;10;17
2546;1;1;9;14
2547;1;1;9;3
2548;0;0;11;15
2549;1;1;11;11
2550;0;0;7;1
2551;1;0;12;12
2552;0;1;12;3
2553;1;0;9;5
2554;0;0;12;5
2555;0;0;8;2
2556;0;0;12;2
2557;0;1;11;12
2558;0;0;12;5
2559;0;0;12;15
2560;0;1;9;4
2561;0;1;15;15
2562;1;0;13;8
2563;1;1;8;18
2564;0;0;15;13
2565;0;1;10;6
2566;0;0;14;3
2567;0;0;15;11
2568;1;1;7;13
2569;1;1;7;11
2570;1;0;12;6
2571;0;0;13;12
2572;0;0;15;2
2573;0;0;9;10
2574;0;0;12;11
2575;0;0;15;18
2576;0;0;8;14
2577;0;0;14;11
2578;1;1;12;1
2579;0;1;8;5
2580;0;0;11;9
2581;1;1;10;11
2582;0;1;13;18
2583;0;1;12;11
2584;0;0;10;15
2585;0;1;15;12
2586;0;0;12;10
2587;0;0;10;6
2588;1;1;8;10
2589;0;0;7;13
2590;1;1;11;2
2591;0;0;11;13
2592;1;0;8;15
2593;0;0;10;12
2594;0;0;14;6
2595;0;0;11;12
2596;0;0;8;8
2597;0;1;11;18
2598;1;0;7;10
2599;1;1;8;12
2600;0;0;8;15
2601;0;1;13;11
2602;0;0;14;9
2603;0;0;10;13
2604;0;0;9;7
2605;0;0;10;11
2606;1;1;10;3
2607;0;0;12;5
2608;0;0;14;18
2609;0;0;10;14
2610;0;0;14;1
2611;0;0;8;13
2612;0;1;9;16
2613;0;1;7;11
2614;0;0;15;15
2615;0;0;10;12
2616;1;0;10;18
2617;0;1;15;16
